spc_id,gemrate_id,console_name,player_name,parallel,card_number,card_description,loose_price,graded_price,manual_only_price,bgs_10_price,sales_volume,spc_date,gem_rate_all_time,gem_rate_past_month,total_graded,total_gems,graded_past_month,graded_prior_month,momentum_30d,last_gem_date,last_graded_date,pct_psa_10,pct_psa_9,pct_psa_8,pct_psa_7,pct_psa_6,pct_psa_5,pct_psa_4,pct_psa_3,cardladder_all_graded_url,gemrate_url,psa_cert_url
8541542,58976dfb7a6f06e2efc5e1486c23b72f9d2fe6b1,Basketball Cards 2024 Panini Prizm,LeBron James,Pink Ice,130,LeBron James Pink Ice 130,$12.88,$34.00,$150.00,$195.00,504,2025-02-19,13%,9%,388,50,34,34,0%,2026-02-20,2026-02-28,13%,35%,27%,15%,9%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=58976dfb7a6f06e2efc5e1486c23b72f9d2fe6b1,https://www.gemrate.com/universal-search?gemrate_id=58976dfb7a6f06e2efc5e1486c23b72f9d2fe6b1,https://www.psacard.com/cert/143942620/psa
8541526,9dd2d8fcb9000d7c942f30c01d4d0bac7b4453d0,Basketball Cards 2024 Panini Prizm,LeBron James,Base,130,LeBron James Base 130,$1.65,$21.32,$77.50,$101.00,798,2025-02-19,35%,40%,388,137,48,33,45%,2026-02-25,2026-02-25,35%,43%,15%,5%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=9dd2d8fcb9000d7c942f30c01d4d0bac7b4453d0,https://www.gemrate.com/universal-search?gemrate_id=9dd2d8fcb9000d7c942f30c01d4d0bac7b4453d0,https://www.psacard.com/cert/145374109/psa
8547786,9191cdf876efef9271a6a8e34657a7c27dbdf7ee,Basketball Cards 2024 Panini Prizm,Dalton Knecht,Silver Prizm,238,Dalton Knecht Silver Prizm 238,$2.56,$10.50,$75.00,$98.00,286,2025-02-19,20%,10%,364,71,10,15,-33%,2026-02-26,2026-02-26,20%,64%,12%,3%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=9191cdf876efef9271a6a8e34657a7c27dbdf7ee,https://www.gemrate.com/universal-search?gemrate_id=9191cdf876efef9271a6a8e34657a7c27dbdf7ee,https://www.psacard.com/cert/136047824/psa
8547610,19b23e758cedcb869e354e4fc6c56e7f1e66028a,Basketball Cards 2024 Panini Prizm,Stephon Castle,Ice,234,Stephon Castle Ice 234,$12.99,$28.00,$155.52,$202.00,404,2025-02-19,29%,21%,337,98,28,27,4%,2026-03-02,2026-03-02,29%,49%,18%,3%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=19b23e758cedcb869e354e4fc6c56e7f1e66028a,https://www.gemrate.com/universal-search?gemrate_id=19b23e758cedcb869e354e4fc6c56e7f1e66028a,https://www.psacard.com/cert/141368391/psa
8548238,5d0eacf03e3b23cc8e413f8aea0f0a6891056b13,Basketball Cards 2024 Panini Prizm,Zach Edey,Silver Prizm,249,Zach Edey Silver Prizm 249,$3.43,$13.81,$82.71,$108.00,343,2025-02-19,28%,30%,323,90,10,15,-33%,2026-02-19,2026-02-25,28%,53%,15%,3%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=5d0eacf03e3b23cc8e413f8aea0f0a6891056b13,https://www.gemrate.com/universal-search?gemrate_id=5d0eacf03e3b23cc8e413f8aea0f0a6891056b13,https://www.psacard.com/cert/145138423/psa
8551882,cbadc1cac56e206fe6aedf6b1363152e33434351,Basketball Cards 2024 Panini Prizm,Stephon Castle,Red Ice,234,Stephon Castle Red Ice 234,$12.94,$26.97,$137.25,$178.00,304,2025-02-19,16%,0%,319,51,16,18,-11%,2026-01-22,2026-02-26,16%,51%,23%,8%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=cbadc1cac56e206fe6aedf6b1363152e33434351,https://www.gemrate.com/universal-search?gemrate_id=cbadc1cac56e206fe6aedf6b1363152e33434351,https://www.psacard.com/cert/141213761/psa
8558011,0aeb0836735f2e11aa946b64a4213981cd090282,Basketball Cards 2024 Panini Prizm,Jared McCain,Pink Ice,222,Jared McCain Pink Ice 222,$2.38,$15.50,$48.07,$62.00,164,2025-02-19,42%,50%,295,125,14,29,-52%,2026-02-19,2026-02-27,42%,42%,11%,4%,0%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=0aeb0836735f2e11aa946b64a4213981cd090282,https://www.gemrate.com/universal-search?gemrate_id=0aeb0836735f2e11aa946b64a4213981cd090282,https://www.psacard.com/cert/145029725/psa
8547614,7dd10bd415fb258e02a167c38b91e0bc1bf44ce2,Basketball Cards 2024 Panini Prizm,Stephon Castle,Red White Blue Prizm,234,Stephon Castle Red White Blue Prizm 234,$14.63,$23.87,$120.00,$156.00,338,2025-02-19,33%,27%,288,95,15,17,-12%,2026-02-18,2026-03-02,33%,45%,16%,3%,3%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=7dd10bd415fb258e02a167c38b91e0bc1bf44ce2,https://www.gemrate.com/universal-search?gemrate_id=7dd10bd415fb258e02a167c38b91e0bc1bf44ce2,https://www.psacard.com/cert/143803538/psa
8550232,a373eb9e6804fe258ec37599d36901f0a8e7fda7,Basketball Cards 2024 Panini Prizm,Rob Dillingham,Silver Prizm,250,Rob Dillingham Silver Prizm 250,$2.30,$11.50,$77.00,$100.00,201,2025-02-19,25%,33%,260,66,24,17,41%,2026-02-21,2026-03-02,25%,55%,15%,2%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=a373eb9e6804fe258ec37599d36901f0a8e7fda7,https://www.gemrate.com/universal-search?gemrate_id=a373eb9e6804fe258ec37599d36901f0a8e7fda7,https://www.psacard.com/cert/143120924/psa
8550242,11e9ecf164dbee27856c4f88c36bac7b2efdd93d,Basketball Cards 2024 Panini Prizm,Matas Buzelis,Pink Ice,252,Matas Buzelis Pink Ice 252,$5.00,$24.08,$53.75,$70.00,275,2025-02-19,31%,32%,259,79,25,27,-7%,2026-02-27,2026-02-27,31%,50%,15%,3%,0%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=11e9ecf164dbee27856c4f88c36bac7b2efdd93d,https://www.gemrate.com/universal-search?gemrate_id=11e9ecf164dbee27856c4f88c36bac7b2efdd93d,https://www.psacard.com/cert/139627900/psa
8541539,c7d196cc6882b0c05bcf5bbaffa2a7789861203a,Basketball Cards 2024 Panini Prizm,LeBron James,Ice,130,LeBron James Ice 130,$15.29,$32.75,$350.00,$455.00,269,2025-02-19,21%,16%,252,53,25,25,0%,2026-02-20,2026-02-27,21%,52%,17%,7%,2%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=c7d196cc6882b0c05bcf5bbaffa2a7789861203a,https://www.gemrate.com/universal-search?gemrate_id=c7d196cc6882b0c05bcf5bbaffa2a7789861203a,https://www.psacard.com/cert/142285714/psa
8557182,fc1ef359b368d841164017d6a747f82ec6d0bcd3,Basketball Cards 2024 Panini Prizm,Jaylen Wells,Silver Prizm,239,Jaylen Wells Silver Prizm 239,$2.96,$10.54,$87.87,$114.00,300,2025-02-19,22%,14%,252,55,14,10,40%,2026-02-18,2026-02-27,22%,54%,17%,4%,3%,0%,1%,0%,https://app.cardladder.com/search?gemRateId=fc1ef359b368d841164017d6a747f82ec6d0bcd3,https://www.gemrate.com/universal-search?gemrate_id=fc1ef359b368d841164017d6a747f82ec6d0bcd3,https://www.psacard.com/cert/138398927/psa
8548198,9bc00668eed462895a41a849d99a82651e297700,Basketball Cards 2024 Panini Prizm,Kel'El Ware,Silver Prizm,248,Kel'El Ware Silver Prizm 248,$9.00,$23.29,$97.00,$126.00,470,2025-02-19,27%,11%,245,65,18,23,-22%,2026-02-14,2026-03-02,27%,51%,18%,1%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=9bc00668eed462895a41a849d99a82651e297700,https://www.gemrate.com/universal-search?gemrate_id=9bc00668eed462895a41a849d99a82651e297700,https://www.psacard.com/cert/138460279/psa
8548364,dfb10cb333b4bb731fd94124c13065f12630bf7d,Basketball Cards 2024 Panini Prizm,Matas Buzelis,Red Ice,252,Matas Buzelis Red Ice 252,$10.56,$24.20,$250.78,$326.00,225,2025-02-19,20%,26%,228,46,27,28,-4%,2026-03-02,2026-03-02,20%,54%,19%,5%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=dfb10cb333b4bb731fd94124c13065f12630bf7d,https://www.gemrate.com/universal-search?gemrate_id=dfb10cb333b4bb731fd94124c13065f12630bf7d,https://www.psacard.com/cert/141136101/psa
8541545,c31a5d5c7c35b39532e2c17354a0fde99437ac0d,Basketball Cards 2024 Panini Prizm,LeBron James,Red Ice,130,LeBron James Red Ice 130,$15.00,$38.90,$269.31,$350.00,285,2025-02-19,10%,8%,219,21,24,19,26%,2026-02-12,2026-02-27,10%,41%,29%,10%,10%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=c31a5d5c7c35b39532e2c17354a0fde99437ac0d,https://www.gemrate.com/universal-search?gemrate_id=c31a5d5c7c35b39532e2c17354a0fde99437ac0d,https://www.psacard.com/cert/138471358/psa
8846335,122e29635105a62ba33daab843e2acb016bbc17a,Basketball Cards 2024 Panini Prizm,Stephon Castle,Green Prizm,234,Stephon Castle Green Prizm 234,$12.72,$26.50,$80.00,$104.00,286,2025-02-19,23%,7%,219,50,15,17,-12%,2026-02-20,2026-02-25,23%,57%,15%,2%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=122e29635105a62ba33daab843e2acb016bbc17a,https://www.gemrate.com/universal-search?gemrate_id=122e29635105a62ba33daab843e2acb016bbc17a,https://www.psacard.com/cert/140176436/psa
8846216,bc805b0adf72ea80c289775901c121e8657c0f1e,Basketball Cards 2024 Panini Prizm,LeBron James,Green Prizm,130,LeBron James Green Prizm 130,$9.68,$28.00,$134.10,$174.00,352,2025-02-19,23%,12%,200,45,17,19,-11%,2026-02-24,2026-03-02,23%,57%,14%,4%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=bc805b0adf72ea80c289775901c121e8657c0f1e,https://www.gemrate.com/universal-search?gemrate_id=bc805b0adf72ea80c289775901c121e8657c0f1e,https://www.psacard.com/cert/143821953/psa
8541548,bce74eeb700c6c58a150ae62b9890c6a3ef091a7,Basketball Cards 2024 Panini Prizm,LeBron James,Red White Blue Prizm,130,LeBron James Red White Blue Prizm 130,$14.74,$41.60,$148.89,$194.00,328,2025-02-19,31%,33%,191,60,12,18,-33%,2026-02-20,2026-03-02,31%,41%,18%,4%,5%,1%,1%,0%,https://app.cardladder.com/search?gemRateId=bce74eeb700c6c58a150ae62b9890c6a3ef091a7,https://www.gemrate.com/universal-search?gemrate_id=bce74eeb700c6c58a150ae62b9890c6a3ef091a7,https://www.psacard.com/cert/142421701/psa
8550241,57bac7eb8c7a7ab03fd67b625a8595f9b5150938,Basketball Cards 2024 Panini Prizm,Matas Buzelis,Ice,252,Matas Buzelis Ice 252,$8.50,$25.66,$65.52,$85.00,166,2025-02-19,36%,31%,191,69,13,18,-28%,2026-02-18,2026-03-02,36%,52%,10%,1%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=57bac7eb8c7a7ab03fd67b625a8595f9b5150938,https://www.gemrate.com/universal-search?gemrate_id=57bac7eb8c7a7ab03fd67b625a8595f9b5150938,https://www.psacard.com/cert/145625833/psa
8547988,72c27922f80db3eb1335ce3ffc3c403f285ff482,Basketball Cards 2024 Panini Prizm,Bronny James Jr.,Pink Ice,243,Bronny James Jr. Pink Ice 243,$2.70,$18.69,$63.00,$82.00,146,2025-02-19,29%,0%,189,54,4,9,-56%,2026-01-29,2026-02-20,29%,46%,19%,5%,1%,0%,1%,0%,https://app.cardladder.com/search?gemRateId=72c27922f80db3eb1335ce3ffc3c403f285ff482,https://www.gemrate.com/universal-search?gemrate_id=72c27922f80db3eb1335ce3ffc3c403f285ff482,https://www.psacard.com/cert/140326310/psa
8551906,26547696d0a3bbd45b0479037b16bbbbbad06439,Basketball Cards 2024 Panini Prizm,Bronny James Jr.,Base,243,Bronny James Jr. Base 243,$1.59,$12.26,$50.00,$65.00,78,2025-02-19,15%,17%,181,27,6,5,20%,2026-02-13,2026-03-02,15%,46%,27%,9%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=26547696d0a3bbd45b0479037b16bbbbbad06439,https://www.gemrate.com/universal-search?gemrate_id=26547696d0a3bbd45b0479037b16bbbbbad06439,https://www.psacard.com/cert/129136847/psa
8544922,efe2f0d9f1ad11b5eea9f02efee9fcd5e4907f95,Basketball Cards 2024 Panini Prizm,Victor Wembanyama,Silver Prizm,172,Victor Wembanyama Silver Prizm 172,$4.50,$18.00,$68.86,$90.00,353,2025-02-19,21%,7%,178,37,15,14,7%,2026-02-19,2026-03-02,21%,53%,19%,2%,3%,1%,1%,0%,https://app.cardladder.com/search?gemRateId=efe2f0d9f1ad11b5eea9f02efee9fcd5e4907f95,https://www.gemrate.com/universal-search?gemrate_id=efe2f0d9f1ad11b5eea9f02efee9fcd5e4907f95,https://www.psacard.com/cert/130870467/psa
8547611,46592846fe667ab51ab362af1b4b9ce995b31afe,Basketball Cards 2024 Panini Prizm,Stephon Castle,Orange Ice,234,Stephon Castle Orange Ice 234,$19.99,$30.89,$162.50,$211.00,302,2025-02-19,40%,40%,174,70,10,10,0%,2026-02-27,2026-02-27,40%,44%,11%,3%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=46592846fe667ab51ab362af1b4b9ce995b31afe,https://www.gemrate.com/universal-search?gemrate_id=46592846fe667ab51ab362af1b4b9ce995b31afe,https://www.psacard.com/cert/143959942/psa
8553584,3167690c6b32f5038e719911eb8b4b7e80f743f5,Basketball Cards 2024 Panini Prizm,Matas Buzelis,Base,252,Matas Buzelis Base 252,$1.60,$21.81,$35.00,$46.00,144,2025-02-19,23%,6%,163,38,16,8,100%,2026-02-16,2026-03-02,23%,48%,24%,2%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=3167690c6b32f5038e719911eb8b4b7e80f743f5,https://www.gemrate.com/universal-search?gemrate_id=3167690c6b32f5038e719911eb8b4b7e80f743f5,https://www.psacard.com/cert/138637287/psa
8554398,b2116fdc81436cf5033b711a6dabcd917e36adb9,Basketball Cards 2024 Panini Prizm,Terrence Shannon Jr.,Silver Prizm,224,Terrence Shannon Jr. Silver Prizm 224,$3.59,$9.64,$101.85,$132.00,242,2025-02-19,28%,25%,160,44,8,10,-20%,2026-02-18,2026-02-26,28%,55%,12%,3%,1%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=b2116fdc81436cf5033b711a6dabcd917e36adb9,https://www.gemrate.com/universal-search?gemrate_id=b2116fdc81436cf5033b711a6dabcd917e36adb9,https://www.psacard.com/cert/139040415/psa
8558012,d139adefdd7327a6a0b2672ec877e7dd83d8ca03,Basketball Cards 2024 Panini Prizm,Jared McCain,Red Ice,222,Jared McCain Red Ice 222,$2.97,$13.69,$185.51,$241.00,131,2025-02-19,29%,50%,159,46,6,15,-60%,2026-02-24,2026-02-24,29%,48%,18%,2%,1%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=d139adefdd7327a6a0b2672ec877e7dd83d8ca03,https://www.gemrate.com/universal-search?gemrate_id=d139adefdd7327a6a0b2672ec877e7dd83d8ca03,https://www.psacard.com/cert/141213762/psa
8547438,a7e5103bf625474fb5f68f20c4a0c17c922af512,Basketball Cards 2024 Panini Prizm,Nikola Topic,Silver Prizm,230,Nikola Topic Silver Prizm 230,$3.60,$10.12,$81.00,$105.00,253,2025-02-19,12%,0%,158,19,11,14,-21%,2026-01-14,2026-02-16,12%,54%,22%,8%,4%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=a7e5103bf625474fb5f68f20c4a0c17c922af512,https://www.gemrate.com/universal-search?gemrate_id=a7e5103bf625474fb5f68f20c4a0c17c922af512,https://www.psacard.com/cert/133062877/psa
8549230,c1099762d3857fd0a55eecfccbf733f3427b72af,Basketball Cards 2024 Panini Prizm,Bub Carrington,Silver Prizm,244,Bub Carrington Silver Prizm 244,$1.99,$10.61,$36.55,$48.00,173,2025-02-19,25%,33%,157,39,6,10,-40%,2026-02-25,2026-02-25,25%,60%,11%,2%,1%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=c1099762d3857fd0a55eecfccbf733f3427b72af,https://www.gemrate.com/universal-search?gemrate_id=c1099762d3857fd0a55eecfccbf733f3427b72af,https://www.psacard.com/cert/136344179/psa
8548366,6f0125df3265581626834c77f2f96b74504814b7,Basketball Cards 2024 Panini Prizm,Matas Buzelis,Red White Blue Prizm,252,Matas Buzelis Red White Blue Prizm 252,$5.47,$17.92,$81.00,$105.00,164,2025-02-19,35%,33%,154,54,9,23,-61%,2026-02-27,2026-03-02,35%,45%,18%,1%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=6f0125df3265581626834c77f2f96b74504814b7,https://www.gemrate.com/universal-search?gemrate_id=6f0125df3265581626834c77f2f96b74504814b7,https://www.psacard.com/cert/143926850/psa
8550874,a87031537d8440bee413dd8c40b7133fc720ac73,Basketball Cards 2024 Panini Prizm,Jared McCain,Base,222,Jared McCain Base 222,$1.05,$10.12,$34.00,$44.00,87,2025-02-19,28%,33%,151,43,3,12,-75%,2026-02-05,2026-02-10,28%,49%,18%,1%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=a87031537d8440bee413dd8c40b7133fc720ac73,https://www.gemrate.com/universal-search?gemrate_id=a87031537d8440bee413dd8c40b7133fc720ac73,https://www.psacard.com/cert/137649799/psa
8547085,ad7965a738a5f68b32dc432c83f46ce54dda7d46,Basketball Cards 2024 Panini Prizm,Jared McCain,Red White Blue Prizm,222,Jared McCain Red White Blue Prizm 222,$3.01,$17.00,$89.99,$117.00,158,2025-02-19,29%,25%,151,44,8,14,-43%,2026-02-09,2026-03-02,29%,50%,19%,1%,0%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=ad7965a738a5f68b32dc432c83f46ce54dda7d46,https://www.gemrate.com/universal-search?gemrate_id=ad7965a738a5f68b32dc432c83f46ce54dda7d46,https://www.psacard.com/cert/137970806/psa
8548894,0643663255cec9c903098d2270e11b5d05b61996,Basketball Cards 2024 Panini Prizm,Zaccharie Risacher,Pink Ice,265,Zaccharie Risacher Pink Ice 265,$1.99,$13.06,$38.07,$49.00,146,2025-02-19,37%,30%,145,53,10,8,25%,2026-02-17,2026-02-26,37%,44%,12%,3%,4%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=0643663255cec9c903098d2270e11b5d05b61996,https://www.gemrate.com/universal-search?gemrate_id=0643663255cec9c903098d2270e11b5d05b61996,https://www.psacard.com/cert/137978192/psa
8558187,e80a323772265e2abd057b7cbb5896d9b553b1c9,Basketball Cards 2024 Panini Prizm,Ron Holland II,Silver Prizm,269,Ron Holland II Silver Prizm 269,$3.23,$12.60,$76.00,$99.00,230,2025-02-19,17%,25%,141,24,4,17,-76%,2026-03-02,2026-03-02,17%,53%,18%,9%,2%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=e80a323772265e2abd057b7cbb5896d9b553b1c9,https://www.gemrate.com/universal-search?gemrate_id=e80a323772265e2abd057b7cbb5896d9b553b1c9,https://www.psacard.com/cert/138012526/psa
8541529,044d25ad489f0cc9042318bf192923e1ea482f1c,Basketball Cards 2024 Panini Prizm,LeBron James,China Variation,130,LeBron James China Variation 130,$29.99,$35.00,$300.23,$390.00,136,2025-02-19,37%,41%,134,49,17,27,-37%,2026-02-27,2026-02-27,37%,40%,20%,1%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=044d25ad489f0cc9042318bf192923e1ea482f1c,https://www.gemrate.com/universal-search?gemrate_id=044d25ad489f0cc9042318bf192923e1ea482f1c,https://www.psacard.com/cert/147477032/psa
8547083,80f251d61a7e0066af44178777c5e2b45e88a47d,Basketball Cards 2024 Panini Prizm,Jared McCain,Ice,222,Jared McCain Ice 222,$3.25,$11.50,$52.79,$69.00,112,2025-02-19,30%,40%,132,39,5,15,-67%,2026-02-12,2026-02-25,30%,57%,12%,0%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=80f251d61a7e0066af44178777c5e2b45e88a47d,https://www.gemrate.com/universal-search?gemrate_id=80f251d61a7e0066af44178777c5e2b45e88a47d,https://www.psacard.com/cert/138131789/psa
8547608,17461254142b47d180883bac974b8f2fd8ee4700,Basketball Cards 2024 Panini Prizm,Stephon Castle,China Variation,234,Stephon Castle China Variation 234,$27.71,$30.00,$127.64,$166.00,29,2025-02-19,33%,37%,129,43,19,15,27%,2026-02-26,2026-02-28,33%,46%,15%,3%,3%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=17461254142b47d180883bac974b8f2fd8ee4700,https://www.gemrate.com/universal-search?gemrate_id=17461254142b47d180883bac974b8f2fd8ee4700,https://www.psacard.com/cert/141983411/psa
8547047,9a9bcf5ae9281c34a195e3e81a77d7d61f2f23ca,Basketball Cards 2024 Panini Prizm,Donovan Clingan,Silver Prizm,221,Donovan Clingan Silver Prizm 221,$2.60,$10.25,$54.79,$71.00,451,2025-02-19,21%,0%,125,26,4,5,-20%,2026-01-22,2026-02-26,21%,45%,24%,7%,2%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=9a9bcf5ae9281c34a195e3e81a77d7d61f2f23ca,https://www.gemrate.com/universal-search?gemrate_id=9a9bcf5ae9281c34a195e3e81a77d7d61f2f23ca,https://www.psacard.com/cert/142052982/psa
